Bulan,,,,,,,,,,,,
,Suhu (°C),,,,,,,,,,,
,Minimum,,,,Rata-rata,,,,Maksimum,,,
,2019,,,,2019,,,,2019,,,
,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi,Stasiun Geofisika Bandung,Stasiun Klimatologi Bogor,Stasiun Meteorologi Citeko,Stasiun Meteorologi Jatiwangi
Januari,19,20.5,17.6,22.2,25.5,25.9,21,27.3,31.7,33.2,27.6,34.3
Februari,19.4,21.2,18,22.1,25.9,26.2,21.5,27.1,32.8,33.1,29,36.4
Maret,18.9,22.2,17.6,22.1,25.5,26.2,21.5,27.2,32,34.2,28.7,34.6
April,18.6,22,17.8,23.3,25.8,26.6,22.2,27.9,32,34.1,29.4,34.6
Mei,18.8,22.2,17.8,22.2,26,27.3,22.3,28.6,31.2,33.8,28.6,35
Juni,17,20.2,16.9,19.1,25.8,26.9,21.9,27.8,31.4,33.9,28.6,34.6
Juli,15.4,19.2,16.2,19,25.4,26.4,21.5,27.6,32.2,33.7,28.3,35
Agustus,15.4,18.2,15.5,19,25.9,26.1,21.1,27.7,32.8,33.8,29,35
September,16.4,18.8,15.6,21,27,26.5,21.7,28.5,33.8,35,30,37.1
Oktober,17.8,19.6,17.2,22.9,27.9,26.7,22.2,30.3,35,36.1,31.2,38.8
November,16.8,20.4,17,24,26.7,27.1,22.3,30.1,34.2,35.7,30.4,39.2
Desember,19,22,18.5,23.5,25.8,26.1,21.5,27.9,32.6,33.7,27.8,36.7
